term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202550,ALL,COMP,Computer Science,2141,COMP 1351,0,Introduction to Programming I,Lecture/Lab,21-JUN-2025 to 22-AUG-2025,,,3,,"Malaver Alvarado, Juan A.",20,2,,,,,
202550,ALL,COMP,Computer Science,1864,COMP 1352,1,Introduction to Programming II,Directed Study/Research,21-JUN-2025 to 22-AUG-2025,,,3,,"Edgington, Jeffrey M.",1,1,,,,,
202550,ALL,COMP,Computer Science,1873,COMP 3421,0,Database Organization & Mgmt I,Online/Distance,14-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,R,4,,"Mashinchi, Navid",20,18,,,,,
202550,ALL,COMP,Computer Science,1886,COMP 3433,3,Data Visualization,Online/Distance,14-JUN-2025 to 22-AUG-2025,7:00PM-8:50PM,R,4,,"Siebrase, Benjamin E.",10,8,,,,,
202550,ALL,COMP,Computer Science,1938,COMP 3704,0,Advanced Topics: Systems,Lecture,21-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,"M,W",4,ECS 300,"Hannum, Andrew T.",20,6,,,,,
202550,ALL,COMP,Computer Science,2173,COMP 3904,0,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"Evans, Nathan S.",0,1,,,,,
202550,ALL,COMP,Computer Science,2081,COMP 3904,0,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"Albow, Mohammed M.",0,1,,,,,
202550,ALL,COMP,Computer Science,2013,COMP 3904,0,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"Lopez, Mario A.",1,1,,,,,
202550,ALL,COMP,Computer Science,2087,COMP 3904,0,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"Haring, Kerstin S.",0,2,,,,,
202550,ALL,COMP,Computer Science,2145,COMP 3904,0,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"GauthierDickey, Christopher J.",0,1,,,,,
202550,ALL,COMP,Computer Science,1941,COMP 3904,1,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,21-JUN-2025 to 22-AUG-2025,,,0,,"Connin, Sean L.",1,2,,,,,
202550,ALL,COMP,Computer Science,2172,COMP 3995,1,Independent Research,Independent Study/Research,21-JUN-2025 to 22-AUG-2025,,,1,,"Sun, Dali",15,1,,,,,
202550,ALL,COMP,Computer Science,1874,COMP 4334,1,Parallel & Distrib Comp for DS,Online/Distance,14-JUN-2025 to 22-AUG-2025,7:00PM-8:50PM,M,4,,"Daskevich, Ronald J.",25,9,,,,,
202550,ALL,COMP,Computer Science,1875,COMP 4432,2,Machine Learning,Online/Distance,14-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,W,4,,"Sawle, Paul L.",25,13,,,,,
202550,ALL,COMP,Computer Science,1878,COMP 4433,0,Data Visualization,Online/Distance,14-JUN-2025 to 22-AUG-2025,7:00PM-8:50PM,R,4,,"Siebrase, Benjamin E.",15,6,,,,,
202550,ALL,COMP,Computer Science,1879,COMP 4442,1,Probability and Statistics 2,Online/Distance,14-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,W,4,,,25,3,,,,,
202550,ALL,COMP,Computer Science,2238,COMP 4447,1,Data Science Tools 1,Lecture,14-JUN-2025 to 22-AUG-2025,,,4,,,25,0,,,,,
202550,ALL,COMP,Computer Science,1884,COMP 4447,2,Data Science Tools 1,Lecture,14-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,"T,R",4,ECS 301,"Parada San Martin, Daniel A.",25,6,,,,,
202550,ALL,COMP,Computer Science,1197,COMP 4455,1,Shell Scripting & Sys Tools,Lecture/Lab,21-JUN-2025 to 22-AUG-2025,7:00PM-8:50PM,"M,W",4,ECS 201,"Evans, Nathan S.",30,21,,,,,
202550,ALL,COMP,Computer Science,1882,COMP 4531,0,Deep Learning,Online/Distance,14-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,T,4,,"Dalton, Donald A.",25,5,,,,,
202550,ALL,COMP,Computer Science,1937,COMP 4704,0,Advanced Topics-Systems,Lecture,21-JUN-2025 to 22-AUG-2025,5:00PM-6:50PM,"M,W",4,ECS 300,"Hannum, Andrew T.",17,18,,,,,
202550,ALL,COMP,Computer Science,1898,COMP 4705,0,Advanced Topics-Programming,Online/Distance,14-JUN-2025 to 22-AUG-2025,7:00PM-8:50PM,T,4,,"Rasool, Rahim",25,13,,,,,
202550,ALL,COMP,Computer Science,1198,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,21-JUN-2025 to 22-AUG-2025,,,4,,"Evans, Nathan S.",30,15,,,,,
